no;price (y);y predict;distance_to_city_center (x1);rooms (x2);size (x3);y predict;;;;;;;;
1;191.565;216.2661974;2.4;1;19.35;216.2661974;;;;;;;;
2;221.568;154.6737209;2.4;2;13.08;154.6737209;;;;;;;b0;132.0899887
3;185.936;203.7506938;5;1;24.66;203.7506938;;;;;;;b1;-20.32150668
4;275.502;267.9622922;1.9;1;24.82;267.9622922;;;;;;;b2;-13.98249648
5;241.205;272.2904722;1.9;1;25.39;272.2904722;;;;;;;b3;7.593298254
6;193.052;192.1434402;5.9;1;25.54;192.1434402;;;;;;;;
7;231.861;251.6832734;3;1;25.62;251.6832734;;;;;;;;
8;151.757;132.9434186;9;1;26.04;132.9434186;;;;;;;;
9;172.003;146.8068483;8.4;1;26.26;146.8068483;;;;;;;;
10;175.952;146.8068483;8.4;1;26.26;146.8068483;;;;;;;;
11;234.08;269.2854591;2.5;1;26.6;269.2854591;;;;;;;;
12;185.967;185.9853215;6.7;1;26.87;185.9853215;;;;;;;;
13;185.025;156.8480418;8.5;1;27.85;156.8480418;;;;;;;;
14;261.884;266.9026691;2.4;2;27.86;266.9026691;;;;;;;;
15;235.8;261.0951897;3.4;1;27.93;261.0951897;;;;;;;;
16;357.511;286.4102334;2.3;1;28.32;286.4102334;;;;;;;;
17;287.1;281.8980393;1.4;3;29;281.8980393;;;;;;;;
18;297.605;304.5800296;2;1;29.91;304.5800296;;;;;;;;
19;292.882;299.6155182;1.9;2;30.83;299.6155182;;;;;;;;
20;234.432;216.6551923;6.3;2;31.68;216.6551923;;;;;;;;
21;232.113;227.3655164;5.9;2;32.02;227.3655164;;;;;;;;
22;209.43;198.4019161;7.4;2;32.22;198.4019161;;;;;;;;
23;272.844;309.8589238;2.7;2;34.32;309.8589238;;;;;;;;
24;223.08;214.3478424;7.4;2;34.32;214.3478424;;;;;;;;
25;290.739;286.9338823;4;2;34.78;286.9338823;;;;;;;;
26;224.064;215.5229168;7.6;2;35.01;215.5229168;;;;;;;;
27;241.215;241.6295965;7.1;2;37.11;241.6295965;;;;;;;;
28;299.28;288.6149007;4.9;2;37.41;288.6149007;;;;;;;;
29;255.42;286.2173514;5.5;2;38.7;286.2173514;;;;;;;;
30;287;279.8658886;1.5;3;29;279.8658886;;;;;;;;
31;234.735;256.1828073;8.7;3;45.15;256.1828073;;;;;;;;
32;349.233;405.1079094;2.5;3;48.17;405.1079094;;;;;;;;
33;272.227;275.6757704;9;3;48.52;275.6757704;;;;;;;;
34;325.777;335.3456562;6.4;3;49.42;335.3456562;;;;;;;;
35;360.418;349.7225769;5.7;3;49.44;349.7225769;;;;;;;;
36;459.993;399.495588;3.8;3;50.91;399.495588;;;;;;;;
37;321.98;329.7912279;7.6;3;51.9;329.7912279;;;;;;;;
38;393;404.7131504;4.1;3;52.4;404.7131504;;;;;;;;
39;375.852;421.2161945;3.4;3;52.7;421.2161945;;;;;;;;
40;427.023;401.7081373;4.7;3;53.61;401.7081373;;;;;;;;
41;339.129;348.5105948;7.4;3;53.83;348.5105948;;;;;;;;
42;350.9;348.7383938;7.4;3;53.86;348.7383938;;;;;;;;
43;409.836;442.6150293;2.9;3;54.18;442.6150293;;;;;;;;
44;334.89;350.538972;7.7;3;54.9;350.538972;;;;;;;;
45;389.932;417.75181;4.4;3;54.92;417.75181;;;;;;;;
46;417;399.8421189;5.3;3;54.97;399.8421189;;;;;;;;
47;413.25;372.3791383;6.7;3;55.1;372.3791383;;;;;;;;
48;451.245;498.1540108;4.4;4;67.35;498.1540108;;;;;;;;
49;504.589;507.1359161;4.1;4;67.73;507.1359161;;;;;;;;
50;418.46;410.1024015;9.2;4;68.6;410.1024015;;;;;;;;
51;455.65;504.8105263;5.1;4;70.1;504.8105263;;;;;;;;
52;614.809;527.6197816;4;4;70.16;527.6197816;;;;;;;;
53;485.261;491.9124121;6;4;70.81;491.9124121;;;;;;;;
54;495.489;532.020121;4.4;4;71.81;532.020121;;;;;;;;
55;555;529.5504123;4.6;4;72.02;529.5504123;;;;;;;;
56;714.183;604.2189489;1.8;4;74.36;604.2189489;;;;;;;;
57;521.571;542.4334324;5.3;4;75.59;542.4334324;;;;;;;;
58;529.753;585.5822342;3.3;4;75.92;585.5822342;;;;;;;;
59;680.6;637.5531933;2.7;5;83;637.5531933;;;;;;;;
60;680;588.3943653;5.9;5;85.09;588.3943653;;;;;;;;
61;464.18;559.1593392;8;5;86.86;559.1593392;;;;;;;;
62;483.505;575.260905;7.6;5;87.91;575.260905;;;;;;;;
63;692.712;648.4460339;7.1;5;96.21;648.4460339;;;;;;;;
64;782.1;752.9495134;3;5;99;752.9495134;;;;;;;;
65;700;694.0674901;6.6;5;100.88;694.0674901;;;;;;;;
66;808.144;803.2314142;3.5;5;106.96;803.2314142;;;;;;;;
67;292.885;299.6155182;1.9;2;30.83;299.6155182;;;;;;;;
68;229.09;262.7683261;6;2;36.95;262.7683261;;;;;;;;
69;285.048;315.3290442;4.4;2;39.59;315.3290442;;;;;;;;
70;287.6;303.3601656;5.4;2;40.69;303.3601656;;;;;;;;
71;284.625;289.3230566;6.3;2;41.25;289.3230566;;;;;;;;
72;325;308.0680105;5.4;2;41.31;308.0680105;;;;;;;;
73;373.088;361.6234045;3;2;41.94;361.6234045;;;;;;;;
74;177.702;148.0134011;11.3;1;34.18;148.0134011;;;;;;;;
75;264.11;283.2890991;4;2;34.3;283.2890991;;;;;;;;
76;242.52;235.2768129;6.4;2;34.4;235.2768129;;;;;;;;
